Frequency(Hz),Return Loss(dB),Phase(deg),Rs,SWR,Xs,|Z|
23936750,-0.00,1.76,0.0,?,3256.1,3256.1
24161625,-0.00,1.76,0.0,?,3256.1,3256.1
24386500,-0.00,1.76,0.0,?,3256.1,3256.1
24611375,-0.06,1.76,683.0,96.19,3105.9,3180.1
24836250,-0.00,1.76,0.0,?,3256.1,3256.1
25061125,-0.06,1.94,569.1,96.19,2846.3,2902.6
25286000,-0.06,1.94,569.1,96.19,2846.3,2902.6
25510875,-0.00,1.94,0.0,?,2960.0,2960.0
25735750,-0.06,1.94,569.1,96.19,2846.3,2902.6
25960625,-0.00,2.11,0.0,?,2713.3,2713.3
26185500,-0.00,2.11,0.0,?,2713.3,2713.3
26410375,-0.00,2.29,0.0,?,2504.5,2504.5
26635250,-0.00,2.29,0.0,?,2504.5,2504.5
26860125,-0.00,2.29,0.0,?,2504.5,2504.5
27085000,-0.00,2.46,0.0,?,2325.6,2325.6
27309875,-0.00,2.46,0.0,?,2325.6,2325.6
27534750,-0.06,2.46,356.6,96.19,2269.6,2297.4
27759625,-0.06,2.64,311.6,96.19,2124.8,2147.5
27984500,-0.06,2.64,311.6,96.19,2124.8,2147.5
28209375,-0.06,2.82,274.6,96.19,1997.1,2015.8
28434250,-0.06,2.82,274.6,96.19,1997.1,2015.8
28659125,-0.06,2.99,243.7,96.19,1883.5,1899.2
28884000,-0.06,2.99,243.7,96.19,1883.5,1899.2
29108875,-0.06,2.99,243.7,96.19,1883.5,1899.2
29333750,-0.06,3.17,217.8,96.19,1782.0,1795.3
29558625,-0.06,3.17,217.8,96.19,1782.0,1795.3
29783500,-0.06,3.34,195.8,96.19,1690.7,1702.0
30008375,-0.06,3.34,195.8,96.19,1690.7,1702.0
30233250,-0.12,3.34,376.6,48.10,1626.2,1669.3
30458125,-0.06,3.52,176.9,96.19,1608.2,1617.9
30683000,-0.06,3.52,176.9,96.19,1608.2,1617.9
30907875,-0.06,3.70,160.7,96.19,1533.3,1541.7
31132750,-0.06,3.70,160.7,96.19,1533.3,1541.7
31357625,-0.06,3.87,146.5,96.19,1464.9,1472.2
31582500,-0.06,3.87,146.5,96.19,1464.9,1472.2
31807375,-0.06,4.05,134.2,96.19,1402.4,1408.8
32032250,-0.06,4.22,123.3,96.19,1344.9,1350.5
32257125,-0.06,4.22,123.3,96.19,1344.9,1350.5
32482000,-0.06,4.40,113.7,96.19,1291.9,1296.9
32706875,-0.06,4.57,105.2,96.19,1242.9,1247.3
32931750,-0.00,4.57,0.0,?,1251.8,1251.8
33156625,-0.00,4.75,0.0,?,1205.3,1205.3
33381500,-0.00,4.93,0.0,?,1162.3,1162.3
33606375,-0.00,5.10,0.0,?,1122.1,1122.1
33831250,-0.00,5.10,0.0,?,1122.1,1122.1
34056125,-0.00,5.28,0.0,?,1084.7,1084.7
34281000,-0.00,5.45,0.0,?,1049.6,1049.6
34505875,-0.00,5.45,0.0,?,1049.6,1049.6
34730750,-0.00,5.63,0.0,?,1016.8,1016.8
34955625,-0.00,5.81,0.0,?,985.9,985.9
35180500,-0.00,5.98,0.0,?,956.9,956.9
35405375,-0.00,5.98,0.0,?,956.9,956.9
35630250,-0.00,6.16,0.0,?,929.5,929.5
35855125,-0.00,6.16,0.0,?,929.5,929.5
36080000,-0.00,6.33,0.0,?,903.6,903.6
36304875,-0.00,6.51,0.0,?,879.1,879.1
36529750,-0.00,6.51,0.0,?,879.1,879.1
36754625,-0.00,6.69,0.0,?,856.0,856.0
36979500,-0.06,6.86,47.0,96.19,831.3,832.6
37204375,-0.06,6.86,47.0,96.19,831.3,832.6
37429250,-0.06,7.04,44.7,96.19,810.6,811.8
37654125,-0.00,7.21,0.0,?,793.2,793.2
37879000,-0.06,7.39,40.5,96.19,772.1,773.2
38103875,-0.00,7.39,0.0,?,774.2,774.2
38328750,-0.06,7.57,38.7,96.19,754.2,755.2
38553625,-0.06,7.74,36.9,96.19,737.1,738.0
38778500,-0.06,7.92,35.3,96.19,720.7,721.6
39003375,-0.06,7.92,35.3,96.19,720.7,721.6
39228250,-0.06,8.09,33.8,96.19,705.1,705.9
39453125,-0.06,8.27,32.4,96.19,690.1,690.9
39678000,-0.06,8.45,31.1,96.19,675.7,676.5
39902875,-0.06,8.45,31.1,96.19,675.7,676.5
40127750,-0.06,8.62,29.8,96.19,662.0,662.6
40352625,-0.06,8.80,28.6,96.19,648.7,649.4
40577500,-0.06,8.97,27.5,96.19,636.0,636.6
40802375,-0.06,8.97,27.5,96.19,636.0,636.6
41027250,-0.06,9.15,26.5,96.19,623.8,624.3
41252125,-0.06,9.33,25.5,96.19,612.0,612.5
41477000,-0.06,9.50,24.6,96.19,600.6,601.1
41701875,-0.12,9.68,47.2,48.10,586.9,588.8
41926750,-0.06,9.68,23.7,96.19,589.7,590.2
42151625,-0.06,9.85,22.9,96.19,579.2,579.6
42376500,-0.12,10.03,43.9,48.10,566.4,568.1
42601375,-0.12,10.21,42.4,48.10,556.7,558.4
42826250,-0.06,10.21,21.3,96.19,559.1,559.5
43051125,-0.06,10.38,20.6,96.19,549.6,550.0
43276000,-0.12,10.56,39.7,48.10,538.3,539.7
43500875,-0.12,10.73,38.4,48.10,529.5,530.9
43725750,-0.12,10.73,38.4,48.10,529.5,530.9
43950625,-0.12,10.91,37.2,48.10,521.0,522.3
44175500,-0.12,11.09,36.0,48.10,512.8,514.0
44400375,-0.12,11.26,34.9,48.10,504.8,506.0
44625250,-0.18,11.44,50.5,98.73,494.2,496.8
44850125,-0.18,11.61,49.0,98.73,486.8,489.3
45075000,-0.18,11.79,47.6,98.73,479.6,482.0
45299875,-0.23,11.79,62.9,74.05,476.1,480.2
45524750,-0.23,11.96,61.1,74.05,469.2,473.2
45749625,-0.29,12.14,73.6,59.24,458.5,464.3
45974500,-0.29,12.32,71.6,59.24,452.2,457.8
46199375,-0.35,12.49,82.7,49.37,441.5,449.2
46424250,-0.41,12.49,95.4,42.32,436.2,446.5
46649125,-0.47,12.49,107.5,37.03,430.3,443.5
46874000,-0.47,12.49,107.5,37.03,430.3,443.5
47098875,-0.53,12.32,122.3,32.92,429.0,446.1
47323750,-0.59,12.14,137.1,29.63,426.7,448.1
47548625,-0.65,11.79,155.8,26.94,428.3,455.7
47773500,-0.65,11.44,164.4,26.94,438.4,468.2
47998375,-0.65,11.09,173.6,26.94,448.9,481.3
48223250,-0.59,10.73,170.9,29.63,470.9,500.9
48448125,-0.59,10.38,181.2,29.63,483.1,516.0
48673000,-0.53,10.03,177.5,32.92,508.4,538.5
48897875,-0.47,9.85,166.7,37.03,527.8,553.5
49122750,-0.41,9.85,149.0,42.32,539.2,559.4
49347625,-0.35,9.85,130.1,49.37,549.5,564.7
49572500,-0.35,10.03,125.8,49.37,540.8,555.2
49797375,-0.29,10.03,106.5,59.24,549.3,559.6
50022250,-0.29,10.21,103.0,59.24,540.5,550.2
50247125,-0.23,10.38,80.7,74.05,538.4,544.4
50472000,-0.23,10.56,78.1,74.05,529.8,535.5
50696875,-0.18,10.73,57.2,98.73,526.1,529.2
50921750,-0.18,10.91,55.4,98.73,517.7,520.7
51146625,-0.18,11.09,53.7,98.73,509.7,512.5
51371500,-0.18,11.26,52.1,98.73,501.8,504.5
51596375,-0.12,11.44,33.9,48.10,497.0,498.2
51821250,-0.12,11.44,33.9,48.10,497.0,498.2
52046125,-0.12,11.61,32.8,48.10,489.5,490.6
52271000,-0.12,11.79,31.9,48.10,482.2,483.3
52495875,-0.12,11.96,31.0,48.10,475.1,476.1
52720750,-0.06,12.14,15.1,96.19,469.7,469.9
52945625,-0.12,12.32,29.2,48.10,461.6,462.5
53170500,-0.06,12.49,14.2,96.19,456.4,456.6
53395375,-0.06,12.49,14.2,96.19,456.4,456.6
53620250,-0.06,12.67,13.9,96.19,450.0,450.2
53845125,-0.06,12.84,13.5,96.19,443.8,444.0
54070000,-0.06,13.02,13.1,96.19,437.8,438.0
54294875,-0.06,13.20,12.8,96.19,431.9,432.1
54519750,-0.06,13.20,12.8,96.19,431.9,432.1
54744625,-0.06,13.37,12.4,96.19,426.2,426.3
54969500,-0.06,13.55,12.1,96.19,420.6,420.8
55194375,-0.06,13.72,11.8,96.19,415.1,415.3
55419250,-0.06,13.72,11.8,96.19,415.1,415.3
55644125,-0.06,13.90,11.5,96.19,409.8,410.0
55869000,-0.06,14.08,11.2,96.19,404.7,404.8
56093875,-0.06,14.08,11.2,96.19,404.7,404.8
56318750,-0.06,14.08,11.2,96.19,404.7,404.8
56543625,-0.12,14.25,21.9,48.10,398.8,399.4
56768500,-0.06,14.25,11.0,96.19,399.6,399.8
56993375,-0.06,14.43,10.7,96.19,394.7,394.9
57218250,-0.12,14.43,21.3,48.10,393.9,394.4
57443125,-0.06,14.60,10.4,96.19,389.9,390.1
57668000,-0.12,14.60,20.8,48.10,389.1,389.7
57892875,-0.06,14.78,10.2,96.19,385.2,385.4
58117750,-0.12,14.78,20.4,48.10,384.4,385.0
58342625,-0.12,14.96,19.9,48.10,379.9,380.4
58567500,-0.12,14.96,19.9,48.10,379.9,380.4
58792375,-0.12,15.13,19.4,48.10,375.4,376.0
59017250,-0.12,15.13,19.4,48.10,375.4,376.0
59242125,-0.12,15.13,19.4,48.10,375.4,376.0
59467000,-0.06,15.31,9.5,96.19,371.8,371.9
59691875,-0.06,15.31,9.5,96.19,371.8,371.9
59916750,-0.06,15.48,9.3,96.19,367.5,367.7
60141625,-0.06,15.48,9.3,96.19,367.5,367.7
60366500,-0.06,15.66,9.1,96.19,363.4,363.5
60591375,-0.06,15.66,9.1,96.19,363.4,363.5
60816250,-0.06,15.84,8.9,96.19,359.3,359.4
61041125,-0.06,16.01,8.7,96.19,355.3,355.4
61266000,-0.06,16.01,8.7,96.19,355.3,355.4
61490875,-0.06,16.19,8.5,96.19,351.4,351.5
61715750,-0.06,16.19,8.5,96.19,351.4,351.5
61940625,-0.06,16.36,8.3,96.19,347.6,347.7
62165500,-0.06,16.36,8.3,96.19,347.6,347.7
62390375,-0.06,16.54,8.2,96.19,343.8,343.9
62615250,-0.06,16.54,8.2,96.19,343.8,343.9
62840125,-0.06,16.72,8.0,96.19,340.2,340.2
63065000,-0.06,16.72,8.0,96.19,340.2,340.2
63289875,-0.06,16.89,7.8,96.19,336.6,336.7
63514750,-0.06,17.07,7.7,96.19,333.0,333.1
63739625,-0.06,17.07,7.7,96.19,333.0,333.1
63964500,-0.06,17.24,7.5,96.19,329.6,329.7
64189375,-0.06,17.24,7.5,96.19,329.6,329.7
64414250,-0.06,17.42,7.4,96.19,326.2,326.3
64639125,-0.06,17.42,7.4,96.19,326.2,326.3
64864000,-0.06,17.60,7.2,96.19,322.9,323.0
65088875,-0.06,17.77,7.1,96.19,319.7,319.7
65313750,-0.06,17.77,7.1,96.19,319.7,319.7
65538625,-0.06,17.95,6.9,96.19,316.5,316.6
65763500,-0.06,17.95,6.9,96.19,316.5,316.6
65988375,-0.06,18.12,6.8,96.19,313.4,313.4
66213250,-0.00,18.30,0.0,?,310.4,310.4
66438125,-0.06,18.30,6.7,96.19,310.3,310.4
66663000,-0.00,18.48,0.0,?,307.4,307.4
66887875,-0.06,18.48,6.5,96.19,307.3,307.4
67112750,-0.00,18.65,0.0,?,304.5,304.5
67337625,-0.00,18.65,0.0,?,304.5,304.5
67562500,-0.00,18.83,0.0,?,301.6,301.6
67787375,-0.00,18.83,0.0,?,301.6,301.6
68012250,-0.00,19.00,0.0,?,298.7,298.7
68237125,-0.00,19.18,0.0,?,295.9,295.9
68462000,-0.00,19.18,0.0,?,295.9,295.9
68686875,-0.00,19.35,0.0,?,293.2,293.2
68911750,-0.00,19.35,0.0,?,293.2,293.2
69136625,-0.00,19.53,0.0,?,290.5,290.5
69361500,-0.00,19.53,0.0,?,290.5,290.5
69586375,-0.00,19.71,0.0,?,287.9,287.9
69811250,-0.00,19.71,0.0,?,287.9,287.9
70036125,-0.00,19.88,0.0,?,285.3,285.3
70261000,-0.00,20.06,0.0,?,282.7,282.7
70485875,-0.00,20.06,0.0,?,282.7,282.7
70710750,-0.00,20.23,0.0,?,280.2,280.2
70935625,-0.00,20.23,0.0,?,280.2,280.2
71160500,-0.00,20.41,0.0,?,277.7,277.7
71385375,-0.00,20.41,0.0,?,277.7,277.7
71610250,-0.00,20.59,0.0,?,275.3,275.3
71835125,-0.00,20.59,0.0,?,275.3,275.3
72060000,-0.00,20.76,0.0,?,272.9,272.9
72284875,-0.00,20.94,0.0,?,270.6,270.6
72509750,-0.00,20.94,0.0,?,270.6,270.6
72734625,-0.00,21.11,0.0,?,268.3,268.3
72959500,-0.00,21.11,0.0,?,268.3,268.3
73184375,-0.00,21.29,0.0,?,266.0,266.0
73409250,-0.00,21.47,0.0,?,263.8,263.8
73634125,-0.00,21.47,0.0,?,263.8,263.8
73859000,-0.00,21.64,0.0,?,261.6,261.6
74083875,-0.00,21.64,0.0,?,261.6,261.6
74308750,-0.00,21.82,0.0,?,259.4,259.4
74533625,-0.00,21.82,0.0,?,259.4,259.4
74758500,-0.00,21.99,0.0,?,257.3,257.3
74983375,-0.00,21.99,0.0,?,257.3,257.3
75208250,-0.00,22.17,0.0,?,255.2,255.2
75433125,-0.00,22.17,0.0,?,255.2,255.2
75658000,-0.00,22.35,0.0,?,253.1,253.1
75882875,-0.00,22.35,0.0,?,253.1,253.1
76107750,-0.00,22.52,0.0,?,251.1,251.1
76332625,-0.00,22.52,0.0,?,251.1,251.1
76557500,-0.00,22.70,0.0,?,249.1,249.1
76782375,-0.00,22.70,0.0,?,249.1,249.1
77007250,-0.00,22.87,0.0,?,247.1,247.1
77232125,-0.00,22.87,0.0,?,247.1,247.1
77457000,-0.00,23.05,0.0,?,245.2,245.2
77681875,-0.00,23.05,0.0,?,245.2,245.2
77906750,-0.00,23.23,0.0,?,243.3,243.3
78131625,-0.00,23.40,0.0,?,241.4,241.4
78356500,-0.00,23.40,0.0,?,241.4,241.4
78581375,-0.00,23.58,0.0,?,239.6,239.6
78806250,-0.00,23.58,0.0,?,239.6,239.6
79031125,-0.00,23.75,0.0,?,237.7,237.7
79256000,-0.00,23.75,0.0,?,237.7,237.7
79480875,-0.00,23.93,0.0,?,235.9,235.9
79705750,-0.00,23.93,0.0,?,235.9,235.9
79930625,-0.00,24.11,0.0,?,234.2,234.2
80155500,-0.00,24.28,0.0,?,232.4,232.4
80380375,-0.00,24.28,0.0,?,232.4,232.4
80605250,-0.00,24.46,0.0,?,230.7,230.7
80830125,-0.00,24.46,0.0,?,230.7,230.7
81055000,-0.00,24.63,0.0,?,229.0,229.0
81279875,-0.00,24.63,0.0,?,229.0,229.0
81504750,-0.00,24.81,0.0,?,227.3,227.3
81729625,-0.00,24.81,0.0,?,227.3,227.3
81954500,-0.00,24.99,0.0,?,225.7,225.7
82179375,-0.00,25.16,0.0,?,224.0,224.0
82404250,-0.00,25.16,0.0,?,224.0,224.0
82629125,-0.00,25.34,0.0,?,222.4,222.4
82854000,-0.00,25.34,0.0,?,222.4,222.4
83078875,-0.00,25.51,0.0,?,220.9,220.9
83303750,-0.00,25.51,0.0,?,220.9,220.9
83528625,-0.00,25.69,0.0,?,219.3,219.3
83753500,-0.00,25.69,0.0,?,219.3,219.3
83978375,-0.00,25.87,0.0,?,217.7,217.7
84203250,-0.00,25.87,0.0,?,217.7,217.7
84428125,-0.00,26.04,0.0,?,216.2,216.2
84653000,-0.00,26.04,0.0,?,216.2,216.2
84877875,-0.00,26.22,0.0,?,214.7,214.7
85102750,-0.00,26.22,0.0,?,214.7,214.7
85327625,-0.00,26.39,0.0,?,213.2,213.2
85552500,-0.00,26.39,0.0,?,213.2,213.2
85777375,-0.00,26.57,0.0,?,211.8,211.8
86002250,-0.00,26.74,0.0,?,210.3,210.3
86227125,-0.00,26.74,0.0,?,210.3,210.3
86452000,-0.00,26.92,0.0,?,208.9,208.9
86676875,-0.00,26.92,0.0,?,208.9,208.9
86901750,-0.00,27.10,0.0,?,207.5,207.5
87126625,-0.00,27.10,0.0,?,207.5,207.5
87351500,-0.00,27.27,0.0,?,206.1,206.1
87576375,-0.00,27.27,0.0,?,206.1,206.1
87801250,-0.00,27.45,0.0,?,204.7,204.7
88026125,-0.00,27.45,0.0,?,204.7,204.7
88251000,-0.00,27.62,0.0,?,203.4,203.4
88475875,-0.00,27.62,0.0,?,203.4,203.4
88700750,-0.00,27.80,0.0,?,202.0,202.0
88925625,-0.00,27.80,0.0,?,202.0,202.0
89150500,-0.00,27.98,0.0,?,200.7,200.7
89375375,-0.00,27.98,0.0,?,200.7,200.7
89600250,-0.00,28.15,0.0,?,199.4,199.4
89825125,-0.00,28.15,0.0,?,199.4,199.4
90050000,-0.00,28.33,0.0,?,198.1,198.1
90274875,-0.00,28.33,0.0,?,198.1,198.1
90499750,-0.00,28.50,0.0,?,196.8,196.8
90724625,-0.00,28.68,0.0,?,195.6,195.6
90949500,-0.00,28.68,0.0,?,195.6,195.6
91174375,-0.00,28.86,0.0,?,194.3,194.3
91399250,-0.00,28.86,0.0,?,194.3,194.3
91624125,-0.00,29.03,0.0,?,193.1,193.1
91849000,-0.00,29.21,0.0,?,191.9,191.9
92073875,-0.00,29.21,0.0,?,191.9,191.9
92298750,-0.00,29.38,0.0,?,190.7,190.7
92523625,-0.00,29.38,0.0,?,190.7,190.7
92748500,-0.00,29.56,0.0,?,189.5,189.5
92973375,-0.00,29.56,0.0,?,189.5,189.5
93198250,-0.00,29.74,0.0,?,188.3,188.3
93423125,-0.00,29.91,0.0,?,187.2,187.2
93648000,-0.00,29.91,0.0,?,187.2,187.2
93872875,-0.00,30.09,0.0,?,186.0,186.0
94097750,-0.00,30.09,0.0,?,186.0,186.0
94322625,-0.00,30.26,0.0,?,184.9,184.9
94547500,-0.00,30.44,0.0,?,183.8,183.8
94772375,-0.00,30.44,0.0,?,183.8,183.8
94997250,-0.00,30.62,0.0,?,182.7,182.7
95222125,-0.00,30.62,0.0,?,182.7,182.7
95447000,-0.00,30.79,0.0,?,181.6,181.6
95671875,-0.00,30.79,0.0,?,181.6,181.6
95896750,-0.00,30.97,0.0,?,180.5,180.5
96121625,-0.00,30.97,0.0,?,180.5,180.5
96346500,-0.00,31.14,0.0,?,179.4,179.4
96571375,-0.00,31.32,0.0,?,178.4,178.4
96796250,-0.00,31.32,0.0,?,178.4,178.4
97021125,-0.00,31.50,0.0,?,177.3,177.3
97246000,-0.00,31.50,0.0,?,177.3,177.3
97470875,-0.00,31.67,0.0,?,176.3,176.3
97695750,-0.00,31.67,0.0,?,176.3,176.3
97920625,-0.00,31.85,0.0,?,175.3,175.3
98145500,-0.06,32.02,2.2,96.19,174.2,174.2
98370375,-0.06,32.02,2.2,96.19,174.2,174.2
98595250,-0.06,32.20,2.2,96.19,173.2,173.2
98820125,-0.00,32.38,0.0,?,172.2,172.2
99045000,-0.00,32.38,0.0,?,172.2,172.2
99269875,-0.06,32.55,2.1,96.19,171.2,171.2
99494750,-0.00,32.73,0.0,?,170.3,170.3
99719625,-0.00,32.73,0.0,?,170.3,170.3
99944500,-0.06,32.90,2.1,96.19,169.3,169.3
100169375,-0.00,32.90,0.0,?,169.3,169.3
100394250,-0.00,33.08,0.0,?,168.4,168.4
100619125,-0.00,33.26,0.0,?,167.4,167.4
100844000,-0.00,33.26,0.0,?,167.4,167.4
101068875,-0.00,33.43,0.0,?,166.5,166.5
101293750,-0.06,33.43,2.0,96.19,166.5,166.5
101518625,-0.06,33.61,2.0,96.19,165.5,165.6
101743500,-0.06,33.61,2.0,96.19,165.5,165.6
101968375,-0.06,33.78,2.0,96.19,164.6,164.6
102193250,-0.06,33.78,2.0,96.19,164.6,164.6
102418125,-0.06,33.78,2.0,96.19,164.6,164.6
102643000,-0.06,33.96,2.0,96.19,163.7,163.7
102867875,-0.06,33.96,2.0,96.19,163.7,163.7
103092750,-0.06,34.13,2.0,96.19,162.8,162.8
103317625,-0.06,34.13,2.0,96.19,162.8,162.8
103542500,-0.06,34.31,1.9,96.19,161.9,162.0
103767375,-0.06,34.31,1.9,96.19,161.9,162.0
103992250,-0.06,34.49,1.9,96.19,161.1,161.1
104217125,-0.06,34.49,1.9,96.19,161.1,161.1
104442000,-0.06,34.66,1.9,96.19,160.2,160.2
104666875,-0.06,34.84,1.9,96.19,159.3,159.4
104891750,-0.06,34.84,1.9,96.19,159.3,159.4
105116625,-0.06,35.01,1.9,96.19,158.5,158.5
105341500,-0.06,35.19,1.8,96.19,157.6,157.7
105566375,-0.06,35.19,1.8,96.19,157.6,157.7
105791250,-0.06,35.37,1.8,96.19,156.8,156.8
106016125,-0.06,35.54,1.8,96.19,156.0,156.0
106241000,-0.06,35.72,1.8,96.19,155.2,155.2
106465875,-0.06,35.72,1.8,96.19,155.2,155.2
106690750,-0.06,35.89,1.8,96.19,154.3,154.4
106915625,-0.06,36.07,1.8,96.19,153.5,153.6
107140500,-0.06,36.07,1.8,96.19,153.5,153.6
107365375,-0.06,36.25,1.7,96.19,152.7,152.8
107590250,-0.06,36.25,1.7,96.19,152.7,152.8
107815125,-0.00,36.42,0.0,?,152.0,152.0
108040000,-0.00,36.60,0.0,?,151.2,151.2
108264875,-0.06,36.60,1.7,96.19,151.2,151.2
108489750,-0.06,36.77,1.7,96.19,150.4,150.4
108714625,-0.06,36.95,1.7,96.19,149.6,149.6
108939500,-0.06,36.95,1.7,96.19,149.6,149.6
109164375,-0.06,37.13,1.7,96.19,148.9,148.9
109389250,-0.06,37.30,1.7,96.19,148.1,148.1
109614125,-0.06,37.30,1.7,96.19,148.1,148.1
109839000,-0.06,37.48,1.6,96.19,147.4,147.4
110063875,-0.06,37.65,1.6,96.19,146.6,146.6
110288750,-0.06,37.65,1.6,96.19,146.6,146.6
