Frequency,Returnloss,Returnphase,Transmissionloss,Transmissionphase,Rs,Xs,|Z|,Magnitude,SWR,C,,,Xc-calc,,,,,,
4415774,0.351906158,68.09384164,0,0,3.227945432,73.90050215,73.97096626,1.041346611,49.37155837,487.9621417,,1.868647389,3.92E-17,,,,,,
4642920,0.351906158,71.08504399,0,0,2.994560781,69.90258868,69.96670135,1.041346611,49.37155837,490.6320296,,1.844493259,3.73E-17,,,,,,
4870066,0.351906158,74.07624633,0,0,2.789253059,66.18559763,66.24434517,1.041346611,49.37155837,494.0171372,,1.820763495,3.55E-17,,,,,,
5097212,0.410557185,76.8914956,0,0,3.053302126,62.89005316,62.96412821,1.048402045,42.32056851,496.7360706,,1.798581962,3.39E-17,,,,,,
5324358,0.410557185,79.53079179,0,0,2.885291403,60.00368797,60.07301788,1.048402045,42.32056851,498.4196585,,1.778177944,3.25E-17,,,,,,
5551504,0.410557185,82.34604106,0,0,2.724003233,57.09523953,57.16018344,1.048402045,42.32056851,502.3770599,,1.756599899,3.12E-17,,,,,,
5778650,0.410557185,84.98533724,0,0,2.587523401,54.5127035,54.5740792,1.048402045,42.32056851,505.4942785,,1.736497721,2.99E-17,,,,,,
6005796,0.469208211,87.44868035,0,0,2.823874768,52.19780361,52.2741329,1.055505281,37.03260741,507.9460073,,1.717652229,2.88E-17,,,,,,
6232942,0.469208211,89.91202346,0,0,2.702498972,50.00374468,50.07672096,1.055505281,37.03260741,510.9103982,,1.699002529,2.78E-17,,,,,,
6460088,0.469208211,92.37536657,0,0,2.591120085,47.9017867,47.9718154,1.055505281,37.03260741,514.5768092,,1.680351713,2.68E-17,,,,,,
6687234,0.469208211,94.6627566,0,0,2.495768392,46.02587732,46.09349458,1.055505281,37.03260741,517.3587045,,1.663002076,2.59E-17,,,,,,
6914380,0.527859238,96.95014663,0,0,2.707810477,44.20222118,44.28508321,1.062656644,32.91999879,521.0063531,,1.645444093,2.50E-17,,,,,,
7141526,0.527859238,99.06158358,0,0,2.622582203,42.589617,42.67028725,1.062656644,32.91999879,523.5348542,,1.629303735,2.42E-17,,,,,,
7368672,0.527859238,101.1730205,0,0,2.543010119,41.02669875,41.10543651,1.062656644,32.91999879,526.72576,,1.613066573,2.35E-17,,,,,,
7595818,0.527859238,103.2844575,0,0,2.468651734,39.51019911,39.58724637,1.062656644,32.91999879,530.5869788,,1.596709218,2.28E-17,,,,,,
7822964,0.586510264,105.2199413,0,0,2.671391197,38.14519507,38.23862233,1.06985646,29.63013689,533.6164194,,1.58143984,2.21E-17,,,,,,
8050110,0.586510264,107.1554252,0,0,2.604588683,36.82834842,36.9203349,1.06985646,29.63013689,537.1014172,,1.566182243,2.15E-17,,,,,,
8277256,0.586510264,109.0909091,0,0,2.541689006,35.54375478,35.63451538,1.06985646,29.63013689,541.2409716,,1.550763304,2.09E-17,,,,,,
8504402,0.586510264,111.026393,0,0,2.482436159,34.28954229,34.37928446,1.06985646,29.63013689,546.053113,,1.535161688,2.03E-17,,,,,,
8731548,0.586510264,112.7859238,0,0,2.431537366,33.17423737,33.26322894,1.06985646,29.63013689,549.7283856,,1.520800948,1.98E-17,,,,,,
8958694,0.64516129,114.5454545,0,0,2.621159784,32.07051722,32.17745411,1.077105056,26.93863623,554.2295653,,1.506105964,1.93E-17,,,,,,
9185840,0.64516129,116.3049853,0,0,2.570882957,30.99945707,31.10588011,1.077105056,26.93863623,559.2002954,,1.491354088,1.88E-17,,,,,,
9412986,0.703812317,118.0645161,0,0,2.752097635,29.93785597,30.06408591,1.084402764,24.69590648,565.0569862,,1.476220695,1.84E-17,,,,,,
9640132,0.64516129,119.6480938,0,0,2.482426193,29.01902696,29.12501271,1.077105056,26.93863623,569.2126323,,1.462682846,1.79E-17,,,,,,
9867278,0.64516129,121.2316716,0,0,2.443542774,28.1042698,28.21029746,1.077105056,26.93863623,574.2099133,,1.448772306,1.75E-17,,,,,,
10094424,0.762463343,122.8152493,0,0,2.843037367,27.18428493,27.33254852,1.091749916,22.79838509,580.2844061,,1.434317914,1.71E-17,,,,,,
10321570,0.762463343,124.2228739,0,0,2.80585984,26.39572779,26.54444,1.091749916,22.79838509,584.468289,,1.421533641,1.68E-17,,,,,,
10548716,0.762463343,125.8064516,0,0,2.76588766,25.52066689,25.6701105,1.091749916,22.79838509,591.4918122,,1.406892019,1.64E-17,,,,,,
10775862,0.762463343,127.2140762,0,0,2.731937065,24.75309469,24.9033969,1.091749916,22.79838509,596.9786946,,1.393629503,1.61E-17,,,,,,
11003008,0.762463343,128.6217009,0,0,2.699414929,23.9947578,24.14612273,1.091749916,22.79838509,603.132258,,1.380116371,1.57E-17,,,,,,
11230154,0.762463343,130.0293255,0,0,2.668268154,23.2452677,23.39790857,1.091749916,22.79838509,609.9863158,,1.366334552,1.54E-17,,,,,,
11457300,0.762463343,131.2609971,0,0,2.642103542,22.59642642,22.75036698,1.091749916,22.79838509,615.0611695,,1.354039762,1.51E-17,,,,,,
11684446,0.82111437,132.6686217,0,0,2.813979698,21.85451496,22.03493376,1.099146847,21.17209884,623.5783926,,1.339541172,1.48E-17,,,,,,
11911592,0.82111437,133.9002933,0,0,2.78804475,21.21907162,21.40145308,1.099146847,21.17209884,630.0052495,,1.326726379,1.45E-17,,,,,,
12138738,0.82111437,135.1319648,0,0,2.763100173,20.58936885,20.77394599,1.099146847,21.17209884,637.1237354,,1.313643034,1.43E-17,,,,,,
12365884,0.82111437,136.3636364,0,0,2.739116966,19.96518697,20.15220714,1.099146847,21.17209884,644.9734038,,1.300273382,1.40E-17,,,,,,
12593030,0.82111437,137.5953079,0,0,2.71606759,19.34631263,19.5360394,1.099146847,21.17209884,653.5998092,,1.286598202,1.37E-17,,,,,,
12820176,0.82111437,138.8269795,0,0,2.693925891,18.73253847,18.92525387,1.099146847,21.17209884,663.055277,,1.272596633,1.35E-17,,,,,,
13047322,0.82111437,140.058651,0,0,2.672667039,18.12366283,18.31966985,1.099146847,21.17209884,673.3998289,,1.258245974,1.33E-17,,,,,,
13274468,0.82111437,141.1143695,0,0,2.655129939,17.60551935,17.80460689,1.099146847,21.17209884,681.3564798,,1.245648841,1.30E-17,,,,,,
13501614,0.879765396,142.170088,0,0,2.826233127,17.0844049,17.31659564,1.106593895,19.76280068,690.3269253,,1.232599856,1.28E-17,,,,,,
13728760,0.879765396,143.4017595,0,0,2.805910081,16.48811453,16.72516224,1.106593895,19.76280068,703.4577975,,1.217170995,1.26E-17,,,,,,
13955906,0.879765396,144.457478,0,0,2.789173922,15.98034883,16.22193084,1.106593895,19.76280068,713.9964713,,1.203586255,1.24E-17,,,,,,
14183052,0.879765396,145.5131965,0,0,2.773054906,15.47554784,15.72203596,1.106593895,19.76280068,725.4786377,,1.189646032,1.22E-17,,,,,,
14410198,0.879765396,146.568915,0,0,2.757540515,14.9736015,15.2253989,1.106593895,19.76280068,737.979227,,1.175326271,1.20E-17,,,,,,
14637344,0.938416422,147.6246334,0,0,2.925029155,14.46886355,14.76156523,1.114091398,18.52980532,751.8715566,,1.160434421,1.18E-17,,,,,,
14864490,0.938416422,148.5043988,0,0,2.91224628,14.05506768,14.3536095,1.114091398,18.52980532,762.1797429,,1.147832941,1.16E-17,,,,,,
15091636,0.938416422,149.5601173,0,0,2.897465342,13.56084515,13.86693285,1.114091398,18.52980532,778.0675043,,1.132286757,1.15E-17,,,,,,
15318782,0.938416422,150.4398827,0,0,2.88560576,13.15086756,13.46373047,1.114091398,18.52980532,790.4269083,,1.118954404,1.13E-17,,,,,,
15545928,0.938416422,151.4956012,0,0,2.87191448,12.66105699,12.98269066,1.114091398,18.52980532,809.0097222,,1.102469964,1.11E-17,,,,,,
15773074,0.938416422,152.3753666,0,0,2.86094835,12.25461658,12.58414292,1.114091398,18.52980532,823.8047421,,1.088299728,1.10E-17,,,,,,
16000220,0.938416422,153.255132,0,0,2.850379176,11.84969347,12.18769448,1.114091398,18.52980532,839.860751,,1.073707116,1.08E-17,,,,,,
16227366,0.997067449,154.3108504,0,0,3.015164593,11.36121911,11.7545105,1.1216397,17.44200048,863.708889,,1.055424935,1.07E-17,,,,,,
16454512,0.997067449,155.1906158,0,0,3.004848454,10.95961334,11.36407668,1.1216397,17.44200048,882.9988078,,1.039795232,1.05E-17,,,,,,
16681658,0.997067449,156.0703812,0,0,2.994936337,10.55934768,10.97585838,1.1216397,17.44200048,903.9908886,,1.02363709,1.04E-17,,,,,,
16908804,0.997067449,156.9501466,0,0,2.985423269,10.16036898,10.58989376,1.1216397,17.44200048,926.8682089,,1.00690948,1.02E-17,,,,,,
17135950,0.997067449,157.829912,0,0,2.976304499,9.762624735,10.20623487,1.1216397,17.44200048,951.8435562,,0.989566596,1.01E-17,,,,,,
17363096,0.997067449,158.5337243,0,0,2.969290324,9.445283251,9.901013116,1.1216397,17.44200048,970.95299,,0.975214986,9.96E-18,,,,,,
17590242,0.997067449,159.4134897,0,0,2.960870009,9.049630631,9.521689229,1.1216397,17.44200048,1000.31709,,0.956630853,9.83E-18,,,,,,
17817388,0.997067449,160.2932551,0,0,2.952831832,8.655068596,9.144912697,1.1216397,17.44200048,1032.584982,,0.937270514,9.71E-18,,,,,,
18044534,0.997067449,160.9970674,0,0,2.946673768,8.340170341,8.8454128,1.1216397,17.44200048,1058.083068,,0.921174921,9.59E-18,,,,,,
18271680,0.997067449,161.7008798,0,0,2.940755811,8.025912289,8.547708045,1.1216397,17.44200048,1085.844076,,0.904494409,9.47E-18,,,,,,
18498826,0.997067449,162.5806452,0,0,2.933693208,7.63395142,8.17824982,1.1216397,17.44200048,1127.578527,,0.882749392,9.35E-18,,,,,,
18725972,0.997067449,163.2844575,0,0,2.928308854,7.321041453,7.884962948,1.1216397,17.44200048,1161.510448,,0.864572866,9.24E-18,,,,,,
18953118,0.997067449,163.9882698,0,0,2.92315889,7.008690004,7.593852347,1.1216397,17.44200048,1198.734041,,0.845636851,9.13E-18,,,,,,
19180264,1.055718475,164.6920821,0,0,3.089470621,6.694156157,7.372689833,1.129239143,16.47518773,1240.194887,,0.825695839,9.02E-18,,,,,,
19407410,0.997067449,165.5718475,0,0,2.912420319,6.307813359,6.94771196,1.1216397,17.44200048,1300.750318,,0.799878835,8.91E-18,,,,,,
19634556,0.997067449,166.2756598,0,0,2.908021499,5.997106952,6.664974181,1.1216397,17.44200048,1352.313792,,0.777941794,8.81E-18,,,,,,
19861702,1.055718475,167.1554252,0,0,3.073175624,5.607097019,6.394055473,1.129239143,16.47518773,1429.834672,,0.748738071,8.71E-18,,,,,,
20088848,1.055718475,167.8592375,0,0,3.069061874,5.297506905,6.122313304,1.129239143,16.47518773,1496.283173,,0.724071531,8.61E-18,,,,,,
20315994,1.055718475,168.5630499,0,0,3.065186604,4.988316449,5.854798879,1.129239143,16.47518773,1571.260829,,0.697953996,8.52E-18,,,,,,
20543140,1.055718475,169.2668622,0,0,3.061548635,4.679501855,5.592031621,1.129239143,16.47518773,1656.433124,,0.670199624,8.42E-18,,,,,,
20770286,1.055718475,169.9706745,0,0,3.058146858,4.371039443,5.334627261,1.129239143,16.47518773,1753.933625,,0.640584725,8.33E-18,,,,,,
20997432,0.997067449,170.4985337,0,0,2.886377134,4.141570997,5.04814652,1.1216397,17.44200048,1831.087349,,0.617165111,8.24E-18,,,,,,
21224578,1.055718475,171.202346,0,0,3.052759019,3.832006805,4.899348302,1.129239143,16.47518773,1957.830187,,0.583426272,8.15E-18,,,,,,
21451724,1.055718475,171.7302053,0,0,3.050669155,3.601269737,4.71971673,1.129239143,16.47518773,2061.21125,,0.556455651,8.06E-18,,,,,,
21678870,1.055718475,172.4340176,0,0,3.04808639,3.293854937,4.487795782,1.129239143,16.47518773,2229.971161,,0.517704469,7.98E-18,,,,,,
21906016,1.055718475,172.9618768,0,0,3.04630168,3.063457083,4.320268884,1.129239143,16.47518773,2372.821972,,0.486211801,7.90E-18,,,,,,
22133162,1.055718475,173.4897361,0,0,3.044647229,2.833188281,4.158946091,1.129239143,16.47518773,2539.343525,,0.452275437,7.82E-18,,,,,,
22360308,1.055718475,174.1935484,0,0,3.042643437,2.526347084,3.954757726,1.129239143,16.47518773,2818.834373,,0.402493016,7.74E-18,,,,,,
22587454,1.055718475,174.8973607,0,0,3.040870115,2.219694864,3.764828861,1.129239143,16.47518773,3175.994911,,0.346293277,7.66E-18,,,,,,
22814600,1.055718475,175.4252199,0,0,3.039691046,1.989815858,3.633055024,1.129239143,16.47518773,3507.636735,,0.298812888,7.58E-18,,,,,,
23041746,1.114369501,176.1290323,0,0,3.206663788,1.682729215,3.621363038,1.136890075,15.61026303,4106.867927,,0.226014235,7.51E-18,,,,,,
23268892,1.114369501,176.8328446,0,0,3.205458944,1.376607394,3.488554853,1.136890075,15.61026303,4971.12352,,0.138810098,7.43E-18,,,,,,
23496038,1.055718475,177.5366569,0,0,3.036264485,1.071039481,3.219631593,1.129239143,16.47518773,6327.617815,,0.02980548,7.36E-18,,,,,,
23723184,1.055718475,178.0645161,0,0,3.035729549,0.84148196,3.150197737,1.129239143,16.47518773,7976.687332,,-0.07495519,7.29E-18,,,,,,
23950330,1.055718475,178.5923754,0,0,3.035323082,0.611959766,3.096398063,1.129239143,16.47518773,10864.40594,,-0.21327713,7.22E-18,,,,,,
24177476,1.055718475,179.1202346,0,0,3.035045014,0.38246326,3.059048281,1.129239143,16.47518773,17220.25874,,-0.417410277,7.16E-18,,,,,,
24404622,1.055718475,179.8240469,0,0,3.034873913,0.076491225,3.035837705,1.129239143,16.47518773,85301.49713,,-1.116388383,7.09E-18,,,,,,
24631768,1.055718475,180,0,0,3.034866784,3.05034E-15,3.034866784,1.129239143,16.47518773,2.11932E+18,,-14.51565211,7.02E-18,,,,,,
24858914,1.055718475,180,0,0,3.034866784,3.05034E-15,3.034866784,1.129239143,16.47518773,2.09996E+18,,-14.51565211,6.96E-18,,,,,,
25086060,1.055718475,180,0,0,3.034866784,3.05034E-15,3.034866784,1.129239143,16.47518773,2.08094E+18,,-14.51565211,6.90E-18,,,,,,
25313206,1.055718475,180,0,0,3.034866784,3.05034E-15,3.034866784,1.129239143,16.47518773,2.06227E+18,,-14.51565211,6.83E-18,,,,,,
25540352,1.114369501,180,0,0,3.20302098,3.04905E-15,3.20302098,1.136890075,15.61026303,2.04479E+18,,-14.51583504,6.77E-18,,,,,,
25767498,1.114369501,180,0,0,3.20302098,3.04905E-15,3.20302098,1.136890075,15.61026303,2.02676E+18,,-14.51583504,6.71E-18,,,,,,
25994644,1.114369501,180,0,0,3.20302098,3.04905E-15,3.20302098,1.136890075,15.61026303,2.00905E+18,,-14.51583504,6.66E-18,,,,,,
26221790,1.114369501,180,0,0,3.20302098,3.04905E-15,3.20302098,1.136890075,15.61026303,1.99165E+18,,-14.51583504,6.60E-18,,,,,,
26448936,1.173020528,180,0,0,3.371102456,3.0477E-15,3.371102456,1.144592844,14.83194316,1.97542E+18,,-14.51602783,6.54E-18,,,,,,
26676082,1.114369501,180,0,0,3.20302098,3.04905E-15,3.20302098,1.136890075,15.61026303,1.95773E+18,,-14.51583504,6.49E-18,,,,,,
26903228,1.114369501,180,0,0,3.20302098,3.04905E-15,3.20302098,1.136890075,15.61026303,1.9412E+18,,-14.51583504,6.43E-18,,,,,,
27130374,1.173020528,179.6480938,0,0,3.371134104,0.152850514,3.37459752,1.144592844,14.83194316,38398.80181,,-0.815733097,6.38E-18,,,,,,
27357520,1.114369501,178.9442815,0,0,3.203291743,0.458766542,3.235976627,1.136890075,15.61026303,12687.37844,,-0.338408263,6.32E-18,,,,,,
27584666,1.173020528,178.4164223,0,0,3.371743402,0.68786837,3.441194046,1.144592844,14.83194316,8392.034996,,-0.16249466,6.27E-18,,,,,,
27811812,1.173020528,177.888563,0,0,3.372242028,0.917202625,3.494749912,1.144592844,14.83194316,6242.316469,,-0.037534711,6.22E-18,,,,,,
28038958,1.173020528,177.3607038,0,0,3.372883263,1.146575286,3.562439668,1.144592844,14.83194316,4953.086468,,0.059402576,6.17E-18,,,,,,
28266104,1.173020528,177.0087977,0,0,3.373390032,1.299516478,3.615038504,1.144592844,14.83194316,4335.035047,,0.113781791,6.12E-18,,,,,,
28493250,1.173020528,176.4809384,0,0,3.3742692,1.528974519,3.704518284,1.144592844,14.83194316,3655.090376,,0.184400248,6.07E-18,,,,,,
28720396,1.173020528,175.9530792,0,0,3.375291319,1.758496623,3.805903554,1.144592844,14.83194316,3152.886913,,0.245141539,6.02E-18,,,,,,
28947542,1.173020528,175.4252199,0,0,3.376456561,1.988092428,3.918286668,1.144592844,14.83194316,2766.891265,,0.298436571,5.98E-18,,,,,,
29174688,1.173020528,175.0733138,0,0,3.377312999,2.141202008,3.998873483,1.144592844,14.83194316,2549.03908,,0.330657642,5.93E-18,,,,,,
29401834,1.173020528,174.5454545,0,0,3.37871723,2.370942102,4.127601794,1.144592844,14.83194316,2284.257115,,0.374920949,5.88E-18,,,,,,
29628980,1.173020528,174.0175953,0,0,3.380265163,2.600781664,4.26500385,1.144592844,14.83194316,2066.425539,,0.415103895,5.84E-18,,,,,,
29856126,1.173020528,173.6656891,0,0,3.381377082,2.754068085,4.361032216,1.144592844,14.83194316,1936.565671,,0.439974673,5.79E-18,,,,,,
30083272,1.173020528,173.1378299,0,0,3.383165114,2.984094974,4.511167144,1.144592844,14.83194316,1773.791807,,0.474812641,5.75E-18,,,,,,
30310418,1.173020528,172.6099707,0,0,3.385097601,3.214247218,4.668005029,1.144592844,14.83194316,1634.440646,,0.507079277,5.71E-18,,,,,,
30537564,1.173020528,172.2580645,0,0,3.38646634,3.367756499,4.775975095,1.144592844,14.83194316,1548.336255,,0.527340683,5.67E-18,,,,,,
30764710,1.173020528,171.7302053,0,0,3.388640328,3.59813933,4.942619742,1.144592844,14.83194316,1438.498966,,0.556077976,5.62E-18,,,,,,
30991856,1.173020528,171.202346,0,0,3.3909597,3.82867355,5.114425563,1.144592844,14.83194316,1341.975023,,0.583048338,5.58E-18,,,,,,
31219002,1.173020528,170.8504399,0,0,3.392586912,3.982451977,5.231593419,1.144592844,14.83194316,1280.768958,,0.600150548,5.54E-18,,,,,,
31446148,1.173020528,170.3225806,0,0,3.395149481,4.21326032,5.410970571,1.144592844,14.83194316,1201.862014,,0.624618293,5.50E-18,,,,,,
31673294,1.173020528,169.7947214,0,0,3.397858543,4.444246267,5.594351397,1.144592844,14.83194316,1131.225035,,0.647798116,5.46E-18,,,,,,
31900440,1.231671554,169.4428152,0,0,3.569164532,4.5961771,5.819259351,1.152347802,14.12785597,1086.042769,,0.662396755,5.42E-18,,,,,,
32127586,1.173020528,168.914956,0,0,3.402700451,4.829644377,5.907946781,1.144592844,14.83194316,1026.235675,,0.683915153,5.38E-18,,,,,,
32354732,1.231671554,168.3870968,0,0,3.575519628,5.058767018,6.194793326,1.152347802,14.12785597,972.8768538,,0.704044678,5.35E-18,,,,,,
32581878,1.173020528,168.0351906,0,0,3.407952873,5.215609254,6.230306788,1.144592844,14.83194316,937.0422991,,0.717305047,5.31E-18,,,,,,
32809024,1.231671554,167.5073314,0,0,3.581290889,5.444907903,6.517105685,1.152347802,14.12785597,891.3669076,,0.735990538,5.27E-18,,,,,,
33036170,1.231671554,167.1554252,0,0,3.583721046,5.599540751,6.648151109,1.152347802,14.12785597,860.7920639,,0.74815241,5.24E-18,,,,,,
33263316,1.173020528,166.627566,0,0,3.417216925,5.834447406,6.761519655,1.144592844,14.83194316,820.4933876,,0.765999729,5.20E-18,,,,,,
33490462,1.231671554,166.2756598,0,0,3.590102197,5.986590149,6.980551225,1.152347802,14.12785597,794.2179365,,0.777179527,5.17E-18,,,,,,
33717608,1.231671554,165.7478006,0,0,3.594141526,6.219155164,7.183017769,1.152347802,14.12785597,759.367851,,0.793731392,5.13E-18,,,,,,
33944754,1.231671554,165.3958944,0,0,3.596922604,6.374344506,7.319161161,1.152347802,14.12785597,735.922632,,0.804435532,5.10E-18,,,,,,
34171900,1.231671554,164.8680352,0,0,3.601227041,6.607355062,7.525023396,1.152347802,14.12785597,705.2507947,,0.820027645,5.06E-18,,,,,,
34399046,1.231671554,164.516129,0,0,3.604185533,6.762850879,7.663309035,1.152347802,14.12785597,684.4853331,,0.830129811,5.03E-18,,,,,,
34626192,1.231671554,163.9882698,0,0,3.608757143,6.996335378,7.872219308,1.152347802,14.12785597,657.3020756,,0.84487062,5.00E-18,,,,,,
34853338,1.231671554,163.4604106,0,0,3.613490103,7.230117969,8.082816129,1.152347802,14.12785597,631.9032584,,0.859145383,4.96E-18,,,,,,
35080484,1.231671554,163.1085044,0,0,3.616735455,7.386143748,8.2241045,1.152347802,14.12785597,614.5497184,,0.868417756,4.93E-18,,,,,,
35307630,1.231671554,162.7565982,0,0,3.620053132,7.542309697,8.366075558,1.152347802,14.12785597,597.9535221,,0.877504361,4.90E-18,,,,,,
35534776,1.231671554,162.228739,0,0,3.625165826,7.776828203,8.58026131,1.152347802,14.12785597,576.2146145,,0.890802505,4.87E-18,,,,,,
35761922,1.231671554,161.8768328,0,0,3.628665457,7.933358125,8.723839988,1.152347802,14.12785597,561.2578718,,0.899457059,4.84E-18,,,,,,
35989068,1.231671554,161.3489736,0,0,3.634052337,8.168437185,8.940341293,1.152347802,14.12785597,541.6650103,,0.912138974,4.81E-18,,,,,,
36216214,1.231671554,160.9970674,0,0,3.637735621,8.325350582,9.085404931,1.152347802,14.12785597,528.1226305,,0.920402531,4.78E-18,,,,,,
36443360,1.231671554,160.4692082,0,0,3.643399308,8.561019583,9.304053676,1.152347802,14.12785597,510.3832988,,0.93252549,4.75E-18,,,,,,
36670506,1.231671554,160.1173021,0,0,3.647268037,8.718336137,9.450499941,1.152347802,14.12785597,498.0693812,,0.940433609,4.72E-18,,,,,,
36897652,1.231671554,159.7653959,0,0,3.651211469,8.875819508,9.597474518,1.152347802,14.12785597,486.2203858,,0.948208462,4.69E-18,,,,,,
37124798,1.231671554,159.4134897,0,0,3.655229912,9.03347289,9.744964759,1.152347802,14.12785597,474.8118087,,0.955854746,4.66E-18,,,,,,
37351944,1.231671554,158.8856305,0,0,3.661398915,9.27027875,9.967141522,1.152347802,14.12785597,459.8692316,,0.967092793,4.63E-18,,,,,,
37579090,1.231671554,158.5337243,0,0,3.66560628,9.428371214,10.11587135,1.152347802,14.12785597,449.4252036,,0.974436673,4.60E-18,,,,,,
37806236,1.231671554,158.0058651,0,0,3.672060203,9.665850849,10.33985971,1.152347802,14.12785597,435.7494282,,0.985240089,4.58E-18,,,,,,
38033382,1.231671554,157.6539589,0,0,3.676458563,9.824402648,10.48976811,1.152347802,14.12785597,426.1566378,,0.992306153,4.55E-18,,,,,,
38260528,1.231671554,157.3020528,0,0,3.680933924,9.9831439,10.6401333,1.152347802,14.12785597,416.8905647,,0.999267331,4.52E-18,,,,,,
38487674,1.231671554,156.9501466,0,0,3.685486641,10.1420779,10.79094787,1.152347802,14.12785597,407.9357332,,1.006126942,4.49E-18,,,,,,
38714820,1.231671554,156.4222874,0,0,3.692461552,10.38084752,11.01799744,1.152347802,14.12785597,396.2144404,,1.016232812,4.47E-18,,,,,,
38941966,1.231671554,156.0703812,0,0,3.697209256,10.54027788,11.16990662,1.152347802,14.12785597,387.9452355,,1.02285206,4.44E-18,,,,,,
39169112,1.231671554,155.7184751,0,0,3.702035611,10.69991261,11.32224349,1.152347802,14.12785597,379.9412085,,1.029380231,4.42E-18,,,,,,
39396258,1.231671554,155.1906158,0,0,3.709423461,10.93975528,11.55153964,1.152347802,14.12785597,369.4688052,,1.039007607,4.39E-18,,,,,,
39623404,1.231671554,154.8387097,0,0,3.714448148,11.09991571,11.70492434,1.152347802,14.12785597,362.0502843,,1.045319681,4.37E-18,,,,,,
39850550,1.231671554,154.4868035,0,0,3.719552868,11.26029235,11.85872073,1.152347802,14.12785597,354.8594461,,1.051549666,4.34E-18,,,,,,
40077696,1.231671554,154.1348974,0,0,3.724738032,11.42088863,12.01292514,1.152347802,14.12785597,347.8866098,,1.057699896,4.32E-18,,,,,,
40304842,1.231671554,153.7829912,0,0,3.730004057,11.58170797,12.16753426,1.152347802,14.12785597,341.1226234,,1.06377261,4.29E-18,,,,,,
40531988,1.231671554,153.431085,0,0,3.73535137,11.74275385,12.3225451,1.152347802,14.12785597,334.5588277,,1.069769957,4.27E-18,,,,,,
40759134,1.231671554,152.9032258,0,0,3.743525702,11.98475499,12.55580888,1.152347802,14.12785597,325.9764669,,1.07862916,4.24E-18,,,,,,
40986280,1.231671554,152.5513196,0,0,3.749078144,12.1463824,12.7118131,1.152347802,14.12785597,319.8562962,,1.08444695,4.22E-18,,,,,,
41213426,1.231671554,152.1994135,0,0,3.754713421,12.30824857,12.86821105,1.152347802,14.12785597,313.9101653,,1.090196258,4.20E-18,,,,,,
